country_name,country_code,year,cost_healthy_diet_ppp,affordability_ratio,pct_cannot_afford_healthy_diet,veg_cost_share,population,gdp_per_capita,poverty_headcount_pct,food_insecurity_pct
United States,USA,2019,2.2,,4.7,,337790067.0,65227.9565911038,1.0,8.2
Armenia,ARM,2020,3.54,,56.5,,2890892.0,14706.3173043422,1.5,8.3
Belarus,BLR,2020,3.22,,1.9,,9350944.0,24872.3066744528,0.0,1.4
Brazil,BRA,2020,3.69,,20.8,,208660842.0,16101.6183063466,2.8,19.4
Central African Republic,CAF,2020,3.35,,86.4,,5026628.0,1066.29005423151,,88.1
Comoros,COM,2020,4.37,,55.4,,802163.0,3261.59496762747,8.9,79.7
"Congo, Rep.",COG,2020,3.43,,76.2,,5752791.0,4770.96449758365,,
Honduras,HND,2020,3.77,,44.4,,10119640.0,5384.69831983038,,48.4
Hungary,HUN,2020,3.69,,35.3,,9749457.0,35583.5855675637,,10.6
"Iran, Islamic Rep.",IRN,2020,3.15,,41.8,,87723443.0,15119.3058859964,4.6,42.4
Japan,JPN,2020,5.8,,14.8,,126304543.0,43560.021428549,1.2,3.8
Kuwait,KWT,2020,2.22,,,,4400144.0,41461.7235642777,,12.2
Mauritania,MRT,2020,4.13,,52.2,,4600131.0,5740.73959690131,,45.3
Morocco,MAR,2020,2.47,,14.4,,36584208.0,7704.84912109375,,
Namibia,NAM,2020,3.52,,50.8,,2728762.0,9354.13136713077,,57.9
Netherlands,NLD,2020,2.5,,1.8,,17636731.0,62596.6302027524,0.0,4.4
New Zealand,NZL,2020,2.83,,,,5069895.0,45574.965884882,,14.5
Norway,NOR,2020,3.62,,1.8,,5379274.0,69779.2862630574,0.3,4.3
Russian Federation,RUS,2020,2.57,,18.5,,146371299.0,31490.8046875,0.1,5.5
Seychelles,SYC,2020,3.46,,45.5,,120291.0,31055.9442055039,,
Slovenia,SVN,2020,2.98,,2.4,,2102419.0,41767.2579899957,0.0,7.4
Sudan,SDN,2020,,,,,46789231.0,3348.57836914063,,
Sweden,SWE,2020,3.0,,3.6,,10353686.0,57396.2588780383,0.5,5.3
Switzerland,CHE,2020,2.59,,1.6,,8640582.0,74384.6631232325,0.1,2.2
Uganda,UGA,2020,2.9,,75.1,,44457152.0,2532.21950102069,,69.8
Zimbabwe,ZWE,2020,,,,,15526888.0,4178.509676231,,73.0
Albania,ALB,2021,3.49,0.08,16.0,0.17,2849635.0,18212.794718288,,30.2
Australia,AUS,2021,2.61,0.06,3.6,0.28,25956417.0,58327.4146842325,,11.4
Azerbaijan,AZE,2021,3.45,0.1,1.4,0.13,10234371.0,20111.3756952109,,10.1
Barbados,BRB,2021,,,,,282147.0,17686.7469386289,,31.1
Benin,BEN,2021,3.07,0.26,62.2,0.19,13413417.0,3464.2886286745,27.2,62.7
Bhutan,BTN,2021,5.14,0.15,21.3,0.19,775442.0,13458.812666743,,
Bulgaria,BGR,2021,3.93,0.09,35.0,0.22,6877225.0,30958.9830238332,1.2,15.8
Cayman Islands,CYM,2021,4.09,0.13,,0.22,70108.0,74160.4914000191,,
Chile,CHL,2021,3.87,0.09,44.5,0.27,19456334.0,29106.6356522053,,18.2
Cyprus,CYP,2021,3.1,0.11,2.6,0.23,1317309.0,47632.5703125,0.0,
Denmark,DNK,2021,2.49,0.04,0.9,0.26,5856776.0,69327.998216527,0.2,6.8
Dominica,DMA,2021,5.26,0.19,,0.31,67202.0,15808.9743503945,,34.4
