Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of a healthy diet in PPP dollars [CoHD_PPP],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Population [Pop],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop]
Food Prices for Nutrition 5.0,FPN 5.0,Antigua and Barbuda,ATG,2025,YR2025,6.05,..,..,94209,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Argentina,ARG,2017,YR2017,..,..,..,44288894,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Argentina,ARG,2018,YR2018,..,..,..,44654882,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Argentina,ARG,2019,YR2019,..,..,..,44973465,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Argentina,ARG,2020,YR2020,..,..,..,45191965,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Argentina,ARG,2021,YR2021,..,0.08,..,45312281,..,0.18
Food Prices for Nutrition 5.0,FPN 5.0,Argentina,ARG,2022,YR2022,..,..,..,45407904,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Argentina,ARG,2023,YR2023,..,..,..,45538401,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Argentina,ARG,2024,YR2024,..,..,..,45696159,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Argentina,ARG,2025,YR2025,..,..,..,45851378,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Armenia,ARM,2017,YR2017,3.22,..,51.4,2914963,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Armenia,ARM,2018,YR2018,3.31,..,51.6,2909965,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Armenia,ARM,2019,YR2019,3.44,..,55.5,2903972,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Armenia,ARM,2020,YR2020,3.54,..,56.5,2890892,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Armenia,ARM,2021,YR2021,3.8,0.09,56.8,2870349,..,0.16
Food Prices for Nutrition 5.0,FPN 5.0,Armenia,ARM,2022,YR2022,4.27,..,57,2880874,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Armenia,ARM,2023,YR2023,4.33,..,57.4,2943393,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Armenia,ARM,2024,YR2024,4.37,..,46.6,2973840,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Armenia,ARM,2025,YR2025,4.56,..,44,2952365,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Aruba,ABW,2017,YR2017,3.75,..,..,105731,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Aruba,ABW,2018,YR2018,4,..,..,106432,..,..
